category,symbol,ipa,example
monophtong,0,ɒ,bod
monophtong,i,iː,bead
monophtong,A,ɑ:,bard
monophtong,I,ɪ,bid
monophtong,&,æ,bad
monophtong,V,ʌ,bud
monophtong,O,ɔː,bored
monophtong,3,ɜː,bird
monophtong,u,u,boon
monophtong,e,e,bed
monophtong,U,ʊ,pud
monophtong,@,ə,laboured
diphthong,aI,aɪ,bide
diphthong,eI,eɪ,bade
diphthong,oI,oɪ,boy
diphthong,e@,eə,bared
diphthong,I@,ɪə,beard
diphthong,aU,aʊ,bound
diphthong,@U,əʊ,bone
stop,p,p,pill
stop,t,t,till
stop,k,k,kill
stop,d,d,dill
stop,b,b,bill
stop,g,ɡ,gill
fricative,f,f,fin
fricative,s,s,sin
fricative,T,θ,thin
fricative,S,ʃ,shin
fricative,h,h,hint
fricative,v,v,liver
fricative,z,z,lizard
fricative,D,ð,leather
fricative,Z,ʒ,leisure
nasal,m,m,whim
nasal,n,n,win
nasal,9,ŋ,wing
approximant,l,l,lair
approximant,r,r,rare
approximant,w,w,ware
approximant,j,j,yeah
affricate,tS,tʃ,church
affricate,dZ,dʒ,judge
